DATE,ACTLISCOUUS
7/1/2016,1463007
8/1/2016,1460048
9/1/2016,1443081
10/1/2016,1407698
11/1/2016,1339703
12/1/2016,1235985
1/1/2017,1154120
2/1/2017,1151120
3/1/2017,1172713
4/1/2017,1198424
5/1/2017,1253854
6/1/2017,1292371
7/1/2017,1322659
8/1/2017,1325358
9/1/2017,1308607
10/1/2017,1287322
11/1/2017,1228077
12/1/2017,1127799
1/1/2018,1043951
2/1/2018,1045153
3/1/2018,1067281
4/1/2018,1102064
5/1/2018,1156910
6/1/2018,1216504
7/1/2018,1261916
8/1/2018,1285666
9/1/2018,1301922
10/1/2018,1304682
11/1/2018,1273047
12/1/2018,1185865
1/1/2019,1110636
2/1/2019,1102660
3/1/2019,1115940
4/1/2019,1137198
5/1/2019,1180920
6/1/2019,1219807
7/1/2019,1239534
8/1/2019,1235257
9/1/2019,1224868
10/1/2019,1208311
11/1/2019,1143332
12/1/2019,1033887
1/1/2020,951675
2/1/2020,928343
3/1/2020,937319
4/1/2020,941733
5/1/2020,928370
6/1/2020,871557
7/1/2020,822834
8/1/2020,779558
9/1/2020,749395
10/1/2020,734040
11/1/2020,683822
12/1/2020,612300
1/1/2021,531775
2/1/2021,464919
3/1/2021,440589
4/1/2021,435663
5/1/2021,447662
6/1/2021,492425
7/1/2021,546686
8/1/2021,574638
9/1/2021,578070
10/1/2021,565707
11/1/2021,512241
12/1/2021,445303
1/1/2022,376970
2/1/2022,346511
3/1/2022,354016
4/1/2022,379978
5/1/2022,479462
6/1/2022,573650
7/1/2022,691652
8/1/2022,726779
9/1/2022,731496
10/1/2022,752741
11/1/2022,750200
12/1/2022,680925
1/1/2023,616865
2/1/2023,579264
3/1/2023,562444
4/1/2023,562966
5/1/2023,582441
6/1/2023,614326
7/1/2023,647135
8/1/2023,669750
9/1/2023,702430
10/1/2023,738082
11/1/2023,755489
12/1/2023,714176
1/1/2024,665569
2/1/2024,664716
3/1/2024,694820
4/1/2024,734318
5/1/2024,787722
6/1/2024,839992
7/1/2024,884273
